Month,Product,Region,Customer_Segment,Ad_Spend,Interest_Rate,Promotion_Active,Market_Index,Festive_Month,Previous_Month_Demand,Product_Demand
2021-02,SIP,Tier 2,Student,30358,7.18,0,96.97,0,4146,757
2021-02,SIP,Tier 3,Salaried,17543,13.35,0,109.35,0,1675,682
2021-02,SIP,Tier 3,Self-Employed,48756,13.51,1,101.52,0,2122,736
2021-02,SIP,Tier 3,Student,47841,8.5,1,96.82,0,4261,820
2021-03,Credit Card,Tier 1,Salaried,54811,10.29,0,104.8,0,3914,805
2021-03,Credit Card,Tier 1,Self-Employed,65069,15.03,1,99.93,0,1728,775
2021-03,Credit Card,Tier 1,Student,76234,7,1,90.22,0,4304,930
2021-03,Credit Card,Tier 2,Salaried,46939,9.55,1,109,0,4455,959
2021-03,Credit Card,Tier 2,Self-Employed,64098,10.93,1,98.97,0,4170,960
2021-03,Credit Card,Tier 2,Student,99112,11.54,0,105.05,0,4222,945
2021-03,Credit Card,Tier 3,Salaried,37192,7.13,0,99.89,0,3982,777
2021-03,Credit Card,Tier 3,Self-Employed,19348,13.37,0,97.02,0,3705,602
2021-03,Credit Card,Tier 3,Student,58136,13.62,1,107.34,0,4301,892
2021-03,Personal Loan,Tier 1,Salaried,31677,13.01,1,97.93,0,3842,840
2021-03,Personal Loan,Tier 1,Self-Employed,93460,11.13,1,109.73,0,2519,1012
2021-03,Personal Loan,Tier 1,Student,36432,14.8,0,108.94,0,1216,593
2021-03,Personal Loan,Tier 2,Salaried,45909,13.08,0,105.54,0,2205,758
2021-03,Personal Loan,Tier 2,Self-Employed,35289,15.06,0,98.69,0,1172,580
2021-03,Personal Loan,Tier 2,Student,96769,10.69,1,104.82,0,1455,871
2021-03,Personal Loan,Tier 3,Salaried,35470,12.49,0,103.62,0,3395,803
2021-03,Personal Loan,Tier 3,Self-Employed,76040,9.75,0,91.66,0,1928,681
2021-03,Personal Loan,Tier 3,Student,77641,6.12,1,101.12,0,1814,924
2021-03,Mutual Fund,Tier 1,Salaried,30559,11.28,0,108.38,0,2699,769
2021-03,Mutual Fund,Tier 1,Self-Employed,23843,6.75,0,102.59,0,2549,709
2021-03,Mutual Fund,Tier 1,Student,62638,15.96,1,101.69,0,3703,981
2021-03,Mutual Fund,Tier 2,Salaried,17114,8.81,1,91.16,0,1357,670
2021-03,Mutual Fund,Tier 2,Self-Employed,76203,9.36,1,93.76,0,1089,782
2021-03,Mutual Fund,Tier 2,Student,94665,8.29,1,91.55,0,1040,856
2021-03,Mutual Fund,Tier 3,Salaried,57605,6.32,0,96.19,0,4795,841
2021-03,Mutual Fund,Tier 3,Self-Employed,37532,15.11,0,108.81,0,3930,880
2021-03,Mutual Fund,Tier 3,Student,60990,15.19,1,108.65,0,4313,1006
2021-03,Fixed Deposit,Tier 1,Salaried,47892,6.26,0,105.55,0,3193,855
2021-03,Fixed Deposit,Tier 1,Self-Employed,72292,13.5,0,109.4,0,3842,939
2021-03,Fixed Deposit,Tier 1,Student,56540,6.64,0,98.3,0,1384,680
2021-03,Fixed Deposit,Tier 2,Salaried,50943,6.75,1,106.26,0,4934,1059
2021-03,Fixed Deposit,Tier 2,Self-Employed,90642,11.55,0,104.52,0,1713,736
2021-03,Fixed Deposit,Tier 2,Student,23456,8.41,0,92.58,0,1050,555
2021-03,Fixed Deposit,Tier 3,Salaried,27100,8.07,0,103.43,0,2823,622
2021-03,Fixed Deposit,Tier 3,Self-Employed,46187,8.69,0,103.43,0,1673,747
2021-03,Fixed Deposit,Tier 3,Student,53125,14.31,1,107.04,0,2077,890
2021-03,SIP,Tier 1,Salaried,34285,13.92,0,92.68,0,4374,694
2021-03,SIP,Tier 1,Self-Employed,54238,13.85,1,104.08,0,1434,803
2021-03,SIP,Tier 1,Student,91317,12.17,1,97.01,0,3145,880
2021-03,SIP,Tier 2,Salaried,16941,11.55,0,108.08,0,2331,738
2021-03,SIP,Tier 2,Self-Employed,66800,13.84,1,95.96,0,4177,832
2021-03,SIP,Tier 2,Student,53088,15.5,1,99.19,0,4472,867
2021-03,SIP,Tier 3,Salaried,29963,6.66,0,109.6,0,3100,870
2021-03,SIP,Tier 3,Self-Employed,79836,8.09,0,94.8,0,2906,722
2021-03,SIP,Tier 3,Student,27144,10.6,1,93.04,0,4445,846
2021-04,Credit Card,Tier 1,Salaried,34071,7.8,1,96.91,0,4266,856
2021-04,Credit Card,Tier 1,Self-Employed,43434,12.68,1,102.04,0,4122,945
2021-04,Credit Card,Tier 1,Student,67108,7.69,1,96.95,0,3581,942
2021-04,Credit Card,Tier 2,Salaried,49749,7.21,0,97.12,0,4117,673
2021-04,Credit Card,Tier 2,Self-Employed,91818,6.39,0,99.62,0,3261,765
2021-04,Credit Card,Tier 2,Student,65645,7.57,1,91.22,0,2049,693
2021-04,Credit Card,Tier 3,Salaried,89104,6.85,0,93.69,0,3766,715
2021-04,Credit Card,Tier 3,Self-Employed,92558,15.24,1,102.37,0,3125,967
2021-04,Credit Card,Tier 3,Student,26748,6.62,0,95.05,0,2030,474
2021-04,Personal Loan,Tier 1,Salaried,28030,14.44,0,100.64,0,4345,644
2021-04,Personal Loan,Tier 1,Self-Employed,44674,8.42,0,104.75,0,3075,686
2021-04,Personal Loan,Tier 1,Student,60448,8.11,1,100.71,0,1536,858
2021-04,Personal Loan,Tier 2,Salaried,13596,11.94,1,97.1,0,1232,658
2021-04,Personal Loan,Tier 2,Self-Employed,36734,11.84,1,101.74,0,4847,991
2021-04,Personal Loan,Tier 2,Student,91264,11.64,1,95.68,0,2541,937
2021-04,Personal Loan,Tier 3,Salaried,64553,12.08,0,97.12,0,1876,730
2021-04,Personal Loan,Tier 3,Self-Employed,13812,15.34,0,92.04,0,2733,476
2021-04,Personal Loan,Tier 3,Student,81158,10.88,1,93.73,0,4901,933
2021-04,Mutual Fund,Tier 1,Salaried,23918,6.56,0,91.6,0,1242,423
2021-04,Mutual Fund,Tier 1,Self-Employed,14324,15.82,0,107.93,0,1467,576
2021-04,Mutual Fund,Tier 1,Student,97886,14.17,0,99.81,0,3021,852
2021-04,Mutual Fund,Tier 2,Salaried,63441,11.57,1,99.53,0,3220,818
2021-04,Mutual Fund,Tier 2,Self-Employed,16469,15.68,1,98.51,0,1224,569
2021-04,Mutual Fund,Tier 2,Student,46976,11.3,0,102.21,0,1319,562
2021-04,Mutual Fund,Tier 3,Salaried,11828,11.06,0,99.62,0,3026,517
2021-04,Mutual Fund,Tier 3,Self-Employed,30128,9.69,1,92.69,0,2942,772
2021-04,Mutual Fund,Tier 3,Student,12219,8.02,1,106.2,0,1320,724
2021-04,Fixed Deposit,Tier 1,Salaried,73076,6.03,0,101.91,0,2943,719
2021-04,Fixed Deposit,Tier 1,Self-Employed,36614,13.94,0,108.59,0,3365,844
2021-04,Fixed Deposit,Tier 1,Student,10235,10.09,0,104.62,0,2160,685
2021-04,Fixed Deposit,Tier 2,Salaried,94555,9.79,0,104.82,0,3965,845
2021-04,Fixed Deposit,Tier 2,Self-Employed,15951,13.82,0,105.91,0,3317,646
2021-04,Fixed Deposit,Tier 2,Student,98861,14.25,0,106.29,0,4450,888
2021-04,Fixed Deposit,Tier 3,Salaried,30611,9.16,1,97.85,0,3343,782
2021-04,Fixed Deposit,Tier 3,Self-Employed,85046,13.14,1,99.25,0,3469,916
2021-04,Fixed Deposit,Tier 3,Student,97062,10.39,0,94.64,0,2248,793
2021-04,SIP,Tier 1,Salaried,28381,6.67,1,102.48,0,2970,943
2021-04,SIP,Tier 1,Self-Employed,64917,9.33,0,96.7,0,2471,587
2021-04,SIP,Tier 1,Student,81324,10.95,1,107.88,0,1419,963
2021-04,SIP,Tier 2,Salaried,20789,13.52,0,94.97,0,1950,453
2021-04,SIP,Tier 2,Self-Employed,77779,11.7,1,99.88,0,2865,885
2021-04,SIP,Tier 2,Student,56197,14.21,0,97.58,0,2900,741
2021-04,SIP,Tier 3,Salaried,50631,11.02,1,93,0,3094,747
2021-04,SIP,Tier 3,Self-Employed,13756,13.2,0,101.97,0,2955,563
2021-04,SIP,Tier 3,Student,81315,7.82,1,96.85,0,4205,1051
2021-05,Credit Card,Tier 1,Salaried,65318,10.62,1,102.3,0,3265,953
2021-05,Credit Card,Tier 1,Self-Employed,83319,11.06,0,95.12,0,2639,653
2021-05,Credit Card,Tier 1,Student,37306,15.32,1,108.38,0,4204,961
2021-05,Credit Card,Tier 2,Salaried,63028,13.07,1,105.42,0,4870,1029
2021-05,Credit Card,Tier 2,Self-Employed,65176,10.24,0,92.08,0,4368,628
2021-05,Credit Card,Tier 2,Student,23718,7.23,0,109.7,0,2645,803
2021-05,Credit Card,Tier 3,Salaried,29256,9.32,1,100.38,0,1935,804
2021-05,Credit Card,Tier 3,Self-Employed,78244,9.79,0,96.7,0,4507,755
2021-05,Credit Card,Tier 3,Student,23224,7.14,1,100.75,0,3122,761
2021-05,Personal Loan,Tier 1,Salaried,18577,10.66,0,104.75,0,4600,788
2021-05,Personal Loan,Tier 1,Self-Employed,51914,10.52,0,94.96,0,1024,650
2021-05,Personal Loan,Tier 1,Student,80835,10.19,1,96.23,0,1284,749
2021-05,Personal Loan,Tier 2,Salaried,14757,8.2,1,103.27,0,1966,749
2021-05,Personal Loan,Tier 2,Self-Employed,56163,10.59,1,98.29,0,3523,830
2021-05,Personal Loan,Tier 2,Student,85452,7.84,0,101.91,0,4212,939
2021-05,Personal Loan,Tier 3,Salaried,34442,14,1,94.1,0,3332,704
2021-05,Personal Loan,Tier 3,Self-Employed,96444,9.78,1,101.3,0,3065,860
2021-05,Personal Loan,Tier 3,Student,74077,13.14,1,100.49,0,1987,848
2021-05,Mutual Fund,Tier 1,Salaried,36737,10.97,0,93.1,0,2920,502
2021-05,Mutual Fund,Tier 1,Self-Employed,22342,15.46,1,95.45,0,2901,777
2021-05,Mutual Fund,Tier 1,Student,62603,14.01,0,93.12,0,2201,630
2021-05,Mutual Fund,Tier 2,Salaried,91244,10.08,0,94.44,0,3007,812
2021-05,Mutual Fund,Tier 2,Self-Employed,73230,6.2,1,96.79,0,4300,914
2021-05,Mutual Fund,Tier 2,Student,49986,12.53,0,104.42,0,4874,820
2021-05,Mutual Fund,Tier 3,Salaried,97127,13.22,1,106.14,0,4983,1183
2021-05,Mutual Fund,Tier 3,Self-Employed,64771,12.68,0,98.13,0,1822,713
2021-05,Mutual Fund,Tier 3,Student,57057,6.13,0,104.72,0,4156,884
2021-05,Fixed Deposit,Tier 1,Salaried,30079,7.81,1,102.86,0,1081,654
2021-05,Fixed Deposit,Tier 1,Self-Employed,52880,14.17,1,96.72,0,4070,884
2021-05,Fixed Deposit,Tier 1,Student,86918,8.68,0,96.9,0,2279,749
2021-05,Fixed Deposit,Tier 2,Salaried,72516,8.94,1,109.49,0,2387,887
2021-05,Fixed Deposit,Tier 2,Self-Employed,55648,14.68,1,109.71,0,4798,1051
2021-05,Fixed Deposit,Tier 2,Student,47599,10.25,0,100.25,0,1520,561
2021-05,Fixed Deposit,Tier 3,Salaried,70774,8.18,1,106.7,0,3051,1023
2021-05,Fixed Deposit,Tier 3,Self-Employed,86908,12.91,0,90.37,0,4217,750
2021-05,Fixed Deposit,Tier 3,Student,71268,14.15,0,95.48,0,4088,794
2021-05,SIP,Tier 1,Salaried,88411,8.06,1,92.8,0,3074,824
2021-05,SIP,Tier 1,Self-Employed,91182,14.74,1,95.01,0,2772,799
2021-05,SIP,Tier 1,Student,84182,11.73,0,98.38,0,4547,909
2021-05,SIP,Tier 2,Salaried,46397,6.47,1,109.17,0,4776,990
2021-05,SIP,Tier 2,Self-Employed,31172,12.03,1,91.36,0,4850,747
2021-05,SIP,Tier 2,Student,99599,15.16,0,95.94,0,2250,648
2021-05,SIP,Tier 3,Salaried,38769,9.97,1,108.74,0,3116,875
2021-05,SIP,Tier 3,Self-Employed,31792,8.7,0,95.25,0,2762,590
2021-05,SIP,Tier 3,Student,34058,11.97,1,102.47,0,4521,881
2021-06,Credit Card,Tier 1,Salaried,25048,9.52,0,99.91,0,1938,601
2021-06,Credit Card,Tier 1,Self-Employed,65337,10.6,0,106.38,0,2252,761
2021-06,Credit Card,Tier 1,Student,85186,8.72,1,92.06,0,2636,772
2021-06,Credit Card,Tier 2,Salaried,79626,15.62,0,109,0,4894,861
2021-06,Credit Card,Tier 2,Self-Employed,30491,11.42,1,105.17,0,3708,870
2021-06,Credit Card,Tier 2,Student,11750,13.24,1,106.98,0,4608,895
2021-06,Credit Card,Tier 3,Salaried,87454,12.93,0,108.88,0,1046,682
2021-06,Credit Card,Tier 3,Self-Employed,47641,11.88,0,93.61,0,4028,658
2021-06,Credit Card,Tier 3,Student,92310,6.34,0,104.62,0,3930,970
2021-06,Personal Loan,Tier 1,Salaried,83543,15.71,0,105.91,0,4294,877
2021-06,Personal Loan,Tier 1,Self-Employed,35510,10.55,0,106.58,0,2296,611
2021-06,Personal Loan,Tier 1,Student,84910,9.65,1,92.41,0,2121,831
2021-06,Personal Loan,Tier 2,Salaried,12983,10.41,0,91.31,0,4598,635
2021-06,Personal Loan,Tier 2,Self-Employed,16640,11.38,1,96.38,0,3769,838
2021-06,Personal Loan,Tier 2,Student,89273,14.77,1,90.49,0,4241,804
2021-06,Personal Loan,Tier 3,Salaried,39430,7.85,1,108.78,0,4810,1039
2021-06,Personal Loan,Tier 3,Self-Employed,49974,6.09,0,105.34,0,1476,657
2021-06,Personal Loan,Tier 3,Student,83972,10.8,1,107.47,0,2262,971
2021-06,Mutual Fund,Tier 1,Salaried,60072,9.36,1,104.75,0,4760,910
2021-06,Mutual Fund,Tier 1,Self-Employed,43933,8.97,1,95.93,0,2981,737
2021-06,Mutual Fund,Tier 1,Student,50600,8.77,0,109.75,0,3632,878
2021-06,Mutual Fund,Tier 2,Salaried,90688,9.92,1,94.37,0,3041,813
2021-06,Mutual Fund,Tier 2,Self-Employed,55028,6.89,1,109.65,0,4390,986
2021-06,Mutual Fund,Tier 2,Student,39757,12.13,0,104.87,0,1771,614
2021-06,Mutual Fund,Tier 3,Salaried,66979,14.38,1,102.15,0,4564,970
2021-06,Mutual Fund,Tier 3,Self-Employed,87129,6.47,0,94.41,0,3800,678
2021-06,Mutual Fund,Tier 3,Student,24199,9.5,0,102.6,0,1726,689
2021-06,Fixed Deposit,Tier 1,Salaried,56600,15.28,1,100.5,0,2914,899
2021-06,Fixed Deposit,Tier 1,Self-Employed,35425,12.96,1,107.95,0,4810,888
2021-06,Fixed Deposit,Tier 1,Student,17287,13.48,0,101.86,0,2933,632
2021-06,Fixed Deposit,Tier 2,Salaried,27674,14.77,0,95.46,0,4612,702
2021-06,Fixed Deposit,Tier 2,Self-Employed,27602,15.56,1,90.71,0,2486,597
2021-06,Fixed Deposit,Tier 2,Student,52520,11.51,0,95.63,0,4195,650
2021-06,Fixed Deposit,Tier 3,Salaried,90199,12.96,1,99.92,0,1453,773
2021-06,Fixed Deposit,Tier 3,Self-Employed,19903,12.83,0,109.83,0,2137,619
2021-06,Fixed Deposit,Tier 3,Student,19516,10.81,0,108.13,0,2346,638
2021-06,SIP,Tier 1,Salaried,21303,12.78,0,107.29,0,2312,572
2021-06,SIP,Tier 1,Self-Employed,96231,13.97,1,94.91,0,3618,860
2021-06,SIP,Tier 1,Student,93624,9.34,0,103.95,0,2193,788
2021-06,SIP,Tier 2,Salaried,96206,12.99,1,93.17,0,4818,894
2021-06,SIP,Tier 2,Self-Employed,84553,10.65,0,106.52,0,4465,963
2021-06,SIP,Tier 2,Student,32890,8.29,0,93.22,0,3403,527
2021-06,SIP,Tier 3,Salaried,58845,13.57,1,90.13,0,2247,625
2021-06,SIP,Tier 3,Self-Employed,70461,9.26,0,102.64,0,4294,832
2021-06,SIP,Tier 3,Student,22987,6.09,0,105.6,0,2349,745
2021-07,Credit Card,Tier 1,Salaried,39257,10.32,1,96.84,0,1571,701
2021-07,Credit Card,Tier 1,Self-Employed,36660,7.03,1,93.48,0,1483,664
2021-07,Credit Card,Tier 1,Student,60192,13.71,0,101.64,0,3752,676
2021-07,Credit Card,Tier 2,Salaried,30953,6.75,1,107.43,0,1703,911
2021-07,Credit Card,Tier 2,Self-Employed,34860,10.46,0,92.6,0,3428,520
2021-07,Credit Card,Tier 2,Student,67372,6.22,1,97.44,0,4999,1055
2021-07,Credit Card,Tier 3,Salaried,37082,12.83,1,93.18,0,1737,606
2021-07,Credit Card,Tier 3,Self-Employed,24288,7.02,0,93.27,0,1886,468
2021-07,Credit Card,Tier 3,Student,85932,8.98,1,91.65,0,1973,775
2021-07,Personal Loan,Tier 1,Salaried,13093,7.31,0,109.02,0,3795,852
2021-07,Personal Loan,Tier 1,Self-Employed,43756,15.44,1,107.15,0,1083,690
2021-07,Personal Loan,Tier 1,Student,73416,10.42,0,98.19,0,4963,889
2021-07,Personal Loan,Tier 2,Salaried,29982,13.46,0,90.62,0,1792,411
2021-07,Personal Loan,Tier 2,Self-Employed,36385,14.64,1,100.86,0,2083,835
2021-07,Personal Loan,Tier 2,Student,15776,6.91,1,105.42,0,2709,785
2021-07,Personal Loan,Tier 3,Salaried,40707,6.18,0,92.62,0,1692,484
2021-07,Personal Loan,Tier 3,Self-Employed,54859,15.68,1,105.93,0,4224,1049
2021-07,Personal Loan,Tier 3,Student,21536,12.07,1,98.61,0,2701,828
2021-07,Mutual Fund,Tier 1,Salaried,84744,7.61,1,101.64,0,1116,882
2021-07,Mutual Fund,Tier 1,Self-Employed,64615,10.33,1,99.1,0,1071,692
2021-07,Mutual Fund,Tier 1,Student,36589,9.92,1,109.49,0,1165,757
2021-07,Mutual Fund,Tier 2,Salaried,16154,12.95,0,109.05,0,4496,817
2021-07,Mutual Fund,Tier 2,Self-Employed,59930,10.81,1,92.92,0,3635,846
2021-07,Mutual Fund,Tier 2,Student,62269,7.42,1,99.65,0,3139,937
2021-07,Mutual Fund,Tier 3,Salaried,45488,11.6,1,108.82,0,4936,918
2021-07,Mutual Fund,Tier 3,Self-Employed,16368,6.88,0,91.65,0,3636,611
2021-07,Mutual Fund,Tier 3,Student,66985,9.97,1,109.55,0,1089,957
2021-07,Fixed Deposit,Tier 1,Salaried,85897,14.01,1,90.82,0,1427,679
2021-07,Fixed Deposit,Tier 1,Self-Employed,61047,12.36,0,107.92,0,3056,697
2021-07,Fixed Deposit,Tier 1,Student,36015,8.99,1,107.42,0,2713,877
2021-07,Fixed Deposit,Tier 2,Salaried,13389,13.83,0,106.3,0,3054,656
2021-07,Fixed Deposit,Tier 2,Self-Employed,76435,11.97,1,99.05,0,1514,835
2021-07,Fixed Deposit,Tier 2,Student,31288,7.64,1,91.63,0,4061,704
2021-07,Fixed Deposit,Tier 3,Salaried,20326,12.5,0,107.44,0,3169,757
2021-07,Fixed Deposit,Tier 3,Self-Employed,30022,10.7,0,93.64,0,4702,630
2021-07,Fixed Deposit,Tier 3,Student,80326,6.44,1,101.11,0,3961,1036
2021-07,SIP,Tier 1,Salaried,47412,15.96,0,99.87,0,3971,646
2021-07,SIP,Tier 1,Self-Employed,55500,6.72,0,94.07,0,1902,588
2021-07,SIP,Tier 1,Student,82541,15.61,1,104.85,0,1403,791
2021-07,SIP,Tier 2,Salaried,88339,13.35,1,109.75,0,3199,966
2021-07,SIP,Tier 2,Self-Employed,90818,11.79,1,90.59,0,3913,839
2021-07,SIP,Tier 2,Student,36958,15.01,1,103.1,0,1754,781
2021-07,SIP,Tier 3,Salaried,55241,15.12,1,97.68,0,1529,677
2021-07,SIP,Tier 3,Self-Employed,94878,8.36,1,104.32,0,3799,1017
2021-07,SIP,Tier 3,Student,21561,8.38,1,100.25,0,3340,788
2021-08,Credit Card,Tier 1,Salaried,54965,10.92,1,91.95,0,1380,703
2021-08,Credit Card,Tier 1,Self-Employed,80135,11.79,1,101.86,0,1837,905
2021-08,Credit Card,Tier 1,Student,71272,15.69,1,107.16,0,1260,940
2021-08,Credit Card,Tier 2,Salaried,31927,11.99,1,109.4,0,4374,896
2021-08,Credit Card,Tier 2,Self-Employed,62233,6.73,1,96.62,0,2628,747
2021-08,Credit Card,Tier 2,Student,86619,14.29,0,98.99,0,2799,801
2021-08,Credit Card,Tier 3,Salaried,33499,13.07,1,97.19,0,2307,758
2021-08,Credit Card,Tier 3,Self-Employed,45946,13.36,0,100.67,0,3352,718
